Nombre,URL,Descripción,Categoría,Marca,Precio,Moneda,Disponibilidad,Fecha Precio Válido
Marder III Ausf.M Initial Production,https://modelplasticworld.com/es/modelos-a-escala/6727-marder-iii-ausfm-initial-production-089195864642.html,Referencia: DRA6464 Marder III Ausf.M Initial Production Escala:1:35 PVP:48.05€,Modelos a escala,Model Plastic World,36.15,EUR,https://schema.org/InStock,2025-03-12
Bison II 15cm s.IG 33 (Sfl.) auf Pz.Kpfw.II,https://modelplasticworld.com/es/modelos-a-escala/6726-bison-ii-15cm-sig-33-sfl-auf-pzkpfwii-089195864406.html,Referencia: DRA6440 Bison II 15cm s.IG 33 (Sfl.) auf Pz.Kpfw.II Escala:1:35 PVP:54.00€,Modelos a escala,Model Plastic World,40.63,EUR,https://schema.org/OutOfStock,2025-03-12
15cm s.IG.33(Sf) auf Pz.Kpfw.I Ausf.B,https://modelplasticworld.com/es/modelos-a-escala/6722-15cm-sig33sf-auf-pzkpfwi-ausfb-089195862594.html,Referencia: DRA6259 15cm s.IG.33(Sf) auf Pz.Kpfw.I Ausf.B Escala:1:35 PVP:52.10€,Modelos a escala,Model Plastic World,39.2,EUR,https://schema.org/OutOfStock,2025-03-12
"Panzerjäger I, 4.7cm PaK(t) Early Production",https://modelplasticworld.com/es/modelos-a-escala/6721-panzerjaeger-i-47cm-pakt-early-production-089195862587.html,"Referencia: DRA6258 Panzerjäger I, 4.7cm PaK(t) Early Production Escala:1:35 PVP:48.20€",Modelos a escala,Model Plastic World,36.27,EUR,https://schema.org/OutOfStock,2025-03-12
GERMAN RAILWAY GONDOLA Typ Ommr,https://modelplasticworld.com/es/modelos-a-escala/6711-german-railway-gondola-typ-ommr-89195860866.html,Referencia: DRA6086 GERMAN RAILWAY GONDOLA Typ Ommr Escala:1:35 PVP:43.85€,Modelos a escala,Model Plastic World,32.99,EUR,https://schema.org/InStock,2025-03-12
Dragon 6332 M3A1 Half-Track (3 in 1)  Smart Kit,https://modelplasticworld.com/es/modelos-a-escala/6447-friendly-url-autogeneration-failed.html,Dragon 6332 M3A1 Half-Track (3 in 1)  Smart Kit,Modelos a escala,Model Plastic World,40.1,EUR,https://schema.org/OutOfStock,2025-03-12
DRAGON 6467 - M3 75mm Gun Motor Carriage - ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/696-dragon-6467-m3-75mm-gun-motor-carriage-escala-135.html,REFERENCIA:DRA6467 M3 75mm Gun Motor Carriage ESCALA:1/35 PVP:48.40€,Modelos a escala,Model Plastic World,35.14,EUR,https://schema.org/OutOfStock,2025-03-12
DRAGON 6381 - M16 Multiple Gun Motor Carriage - ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/695-dragon-6381-m16-multiple-gun-motor-carriage-escala-135.html,REFERENCIA:DRA6381 M16 Multiple Gun Motor Carriage ESCALA:1/35 PVP:53.40€,Modelos a escala,Model Plastic World,38.75,EUR,https://schema.org/InStock,2025-03-12
DRAGON 6332 - M3A1 Half-Track - ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/694-dragon-6332-m3a1-half-track-escala-135.html,REFERENCIA:DRA6332 M3A1 Half-Track  ESCALA:1/35 PVP:55.00€,Modelos a escala,Model Plastic World,41.38,EUR,https://schema.org/OutOfStock,2025-03-12
DRAGON 6329 - M2A1 Half-Track - ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/693-dragon-6329-m2a1-half-track-escala-135.html,REFERENCIA:DRA6329 M2A1 Half-Track ESCALA:1/35 PVP:46.30€,Modelos a escala,Model Plastic World,33.59,EUR,https://schema.org/OutOfStock,2025-03-12
DRAGON 6838 - Su-76i - Smart Kit - ESCALA 1/35,https://modelplasticworld.com/es/modelos-a-escala/665-dragon-6838-su-76i-smart-kit-escala-135.html,REFERENCIA:DRA6838 Su-76i - Smart Kit ESCALA:1/35 PVP:51.90€,Modelos a escala,Model Plastic World,37.62,EUR,https://schema.org/OutOfStock,2025-03-12
Bergepanther mit Aufgesetztem Pz.Kpfw.IV Turm Als Befeh,https://modelplasticworld.com/es/modelos-a-escala/664-dragon-6835-bergepanther-mit-aufgesetztem-pzkpfwiv-turm-als-befeh-escala-135.html,REFERENCIA:DRA6835 Bergepanther mit Aufgesetztem Pz.Kpfw.IV Turm Als Befeh  ESCALA:1:35 PVP:55.95€,Modelos a escala,Model Plastic World,36.94,EUR,https://schema.org/InStock,2025-03-12
